symbol,calendarYear,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted
ACST,2019,0.0,0.0,0.0,0.0,28734272.019173,4238316.3571,0.0,32972588.376273,32972588.376273,355751.947274,273367.2858,2725434.3918520026,-30988615.937687,0.0,-33714050.329539,0.0,-4906381.066506997,-38620431.396046,0.0,5241162.372679,-43861593.768725,0.0,-6.46,-6.46
ACT,2019,978853000.0,0.0,978853000.0,1.0,0.0,0.0,0.0,-149625000.0,260683000.0,0.0,0.0,0.0,829228000.0,0.8471425229,829228000.0,0.8471425229,-111058000.0,718170000.0,0.7336852418,155832000.0,677628000.0,0.6922673782,4.16,4.16
ACTG,2019,11246000.0,16532000.0,-5286000.0,-0.4700337898,0.0,16376000.0,0.0,18132000.0,34664000.0,5505000.0,0.0,1008000.0,-22410000.0,-1.9927085186,-23418000.0,-2.0823403877,4465000.0,-18953000.0,-1.6853103326,-1824000.0,-17129000.0,-1.5231193313,-0.34,-0.34
ACU,2019,142457000.0,90456000.0,52001000.0,0.3650294475,0.0,0.0,0.0,43572000.0,134028000.0,40000.0,1828000.0,3432722.0,8371000.0,0.0587615912,4938278.0,0.0346650428,1604722.0,6543000.0,0.0459296489,1030000.0,5513000.0,0.038699397,1.65,1.6
ACVA,2019,106847000.0,82778000.0,24069000.0,0.2252660346,0.0,0.0,0.0,103351000.0,186129000.0,2093000.0,0.0,3932000.0,-75350000.0,-0.7052139976,-79282000.0,-0.7420142821,2093000.0,-77189000.0,-0.7224255243,27000.0,-77216000.0,-0.7226782221,-0.58,-0.58
ACXP,2019,0.0,0.0,0.0,0.0,3510088.0,2421165.0,0.0,5931253.0,5931253.0,0.0,0.0,0.0,-5931253.0,0.0,-5931253.0,0.0,0.0,-5931253.0,0.0,0.0,-5931253.0,0.0,-0.79,-0.79
ADAP,2019,1122000.0,0.0,1122000.0,1.0,97501000.0,43391000.0,0.0,140892000.0,140892000.0,2772000.0,0.0,8010000.0,-131760000.0,-117.4331550802,-139770000.0,-124.5721925134,2847000.0,-136923000.0,-122.0347593583,242000.0,-137165000.0,-122.2504456328,-1.31,-1.31
ADBE,2019,11171297000.0,1672720000.0,9498577000.0,0.8502662672,1930228000.0,880637000.0,3244347000.0,6230456000.0,7903176000.0,42255000.0,157214000.0,667003000.0,3935124000.0,0.3522531001,3268121000.0,0.292546246,-63380000.0,3204741000.0,0.2868727776,253283000.0,2951458000.0,0.2642001193,6.07,6.0
ADC,2019,187478000.0,23511000.0,163967000.0,0.8745932856,0.0,15566000.0,0.0,61269000.0,84780000.0,0.0,0.0,35615000.0,136704000.0,0.7291735564,101089000.0,0.5392046,-19788000.0,81301000.0,0.4336562157,538000.0,80081000.0,0.4271487855,1.96,1.93
ADEA,2019,280067000.0,8460000.0,271607000.0,0.9697929424,112345000.0,0.0,0.0,335188000.0,343648000.0,8121000.0,23377000.0,106667000.0,52104000.0,0.1860411973,-54563000.0,-0.1948212392,-28494000.0,-83057000.0,-0.29656118,-19024000.0,-64033000.0,-0.2286345767,-1.3,-1.3
