symbol,year,E,S,G,ESG
BCPC,2018,61.807500000000005,66.67500000000001,66.64999999999999,65.045
BCRX,2018,59.2825,68.075,61.9975,63.1175
BCS,2018,58.28,62.92,55.11,58.77
BCSF,2018,60.1025,66.7375,74.255,67.035
BDC,2018,58.0675,59.8275,69.6875,62.52499999999999
BDL,2018,57.707499999999996,61.165000000000006,55.87,58.2475
BDN,2018,65.89,63.4875,63.34,64.24
BDX,2018,70.0025,63.725,66.2575,66.66
BE,2018,73.84333333333335,59.19333333333333,67.15666666666667,66.73
BECN,2018,62.22500000000001,55.94250000000001,66.99249999999999,61.72
BEDU,2018,62.66,62.51,62.7,62.62
BEEM,2018,67.3575,63.879999999999995,63.769999999999996,65.0025
BEEMW,2018,67.3575,63.879999999999995,63.769999999999996,65.0025
BELFA,2018,60.91749999999999,64.685,60.565,62.0575
BELFB,2018,60.91749999999999,64.685,60.565,62.0575
BEN,2018,54.3825,50.754999999999995,64.50750000000001,56.55
BEP,2018,67.9,65.08,63.77,65.58
BEPH,2018,67.9,65.08,63.77,65.58
BEPI,2018,67.9,65.08,63.77,65.58
BERY,2018,61.4375,64.4525,63.255,63.05
BEST,2018,66.23,54.71,68.95,63.3
BFAM,2018,81.305,89.2625,72.6225,81.065
BFC,2018,72.735,69.39,58.545,66.89
BFH,2018,66.6925,63.5275,64.7325,64.9825
BFI,2018,34.2425,75.2425,65.9075,58.462500000000006
BFIIW,2018,34.2425,75.2425,65.9075,58.462500000000006
BFIN,2018,61.220000000000006,63.480000000000004,74.88749999999999,66.5275
BFS,2018,63.832499999999996,64.54249999999999,71.485,66.62
BFST,2018,68.955,68.9575,63.714999999999996,67.20750000000001
BG,2018,73.715,66.355,65.565,68.545
BGFV,2018,57.177499999999995,78.7,63.025000000000006,66.3
BGI,2018,58.39,67.99,64.85,63.74
BGNE,2018,56.225,58.2975,63.705000000000005,59.41
BGS,2018,59.3975,71.06750000000001,62.605,64.3575
BGSF,2018,62.607499999999995,73.4325,61.5325,65.86
BH,2018,76.69500000000001,62.665,59.9425,66.43249999999999
BHB,2018,59.684999999999995,72.3975,67.7375,66.6075
BHC,2018,72.7175,69.54499999999999,65.37750000000001,69.215
BHE,2018,60.532500000000006,59.6875,63.63250000000001,61.285000000000004
BHF,2018,64.4125,69.43249999999999,63.825,65.89
